,show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
8157,s8158,Movie,"Big Mommas: Like Father, Like Son",John Whitesell,"Martin Lawrence, Brandon T. Jackson, Jessica Lucas",United States,,2011,PG-13,107 min,Comedy,HD. 'Big Momma' is dragged out of mothballs when FBI man Martin Lawrence must go undercover – in a girls school.
8161,s8162,Movie,Armageddon,Michael Bay,"Bruce Willis, Billy Thornton, Liv Tyler, Ben Affleck, Will Patton, Peter Stormare, Keith David",United States,,1998,PG-13,151 min,"Action, Adventure",A large asteroid is heading directly toward Earth.
8207,s8208,Movie,Dirty 30,Andrew Bush,"Mamrie Hart, Grace Helbig, Hannah Hart",United States,,2016,PG-13,87 min,Comedy,"On the eve of Kate's (Mamrie Hart) 30th birthday, friends Evie (Grace Helbig) and Charlie (Hannah Hart) offer to throw her a party. But the celebration quickly spirals out of control."
8257,s8258,Movie,Stuart Little 2,Rob Minkoff,"Geena Davis, Michael J. Fox, Hugh Laurie, Nathan Lane, Jonathan Lipnicki, Melanie Griffith, James Woods, Steve Zahn, Rachael Harris",United States,,2002,PG,78 min,"Comedy, Kids, Science Fiction","The brave and pint-sized hero Stuart Little (Michael J. Fox) returns in Stuart Little 2, delightingaudiences with his big heart and even more action-packed adventure. This time, Stuart must journey through the city with reluctant Snowbell (Nathan Lane) to rescue a new friend, Margalo (Melanie Griffith), from a villainous Falcon (James Woods)."
8317,s8318,Movie,Experimenter,Michael Almereyda,"Peter Sarsgaard, Winona Ryder, Jim Gaffigan, Edoardo Ballerini, Kellan Lutz, Dennis Haysbert, Danny Abeckaser, Taryn Manning, Anton Yelchin",United States,,2016,PG-13,98 min,Drama,"Stanley Milgram (Peter Sarsgaard) conducts an experiment in which people think they're delivering electric shocks to strangers. Ignoring pleas for mercy, most subjects don't stop because they've been told to go on. With Winona Ryder and Jim Gaffigan."
8332,s8333,Movie,Cinderella,Kay Cannon,Camila Cabello,"United States, United Kingdom",,2021,PG,112 min,"Comedy, Fantasy, Kids","From Kay Cannon (Pitch Perfect), Cinderella is a modern movie musical with a bold take on the classic fairytale. Our ambitious heroine (Camila Cabello) has big dreams and with the help of her Fab Godmother, she perseveres to make them come true. Cinderella has an all-star cast including Idina Menzel, Minnie Driver, James Corden, Nicholas Galitzine, Billy Porter and Pierce Brosnan."
8690,s8691,Movie,Irish Jam,John Eyres,"Dudley Sutton, Eddie Griffith, Anna Friel","United Kingdom, United States",,2006,PG-13,94 min,Comedy,"Upon discovering that their town is up for sale, crafty Irish villagers scheme to raise the money to prevent the buy-out. They hold a poetry contest with a tempting grand prize – the deed to their local pub. But what could happen when a duplicitous American rapper emerges as the best poet around?"
8850,s8851,Movie,"An American Girl Story: Summer Camp, Friends For Life",Alison McDonald,"Zoe Manarel, Alison Fernandez, Lauren Donzis, Camryn Manheim, Monique Green",United States,,2017,ALL,32 min,Kids,"Aspiring filmmaker, Z and Paz, a budding engineer, arrive at S.T.E.A.M. camp excited for tech heaven. When the administrator makes them explore nature and confiscates all tech, they think their summer’s doomed. Things take a mysterious turn when they meet Jordan, an enchanting “counselor” who sends them on an adventure, opening them up to a world of possibilities – like befriending Drew."
9069,s9070,Movie,The Grudge 2,Takashi Shimizu,"Amber Tamblyn, Arielle Kebbel, Jennifer Beals, Edison Chen, Sarah Roemer, Sarah Michelle Gellar","United States, Japan",,2006,PG-13,102 min,Horror,"Acclaimed producers Sam Raimi, Rob Tapert and Taka Ichise have re-teamed with director Takashi Shimizu and screenwriter Stephen Susco to present this heart-stopping sequel to the smash-hit thriller, The Grudge."
9096,s9097,Movie,Stargate,Roland Emmerich,"Kurt Russell, James Spader, Jaye Davidson, Viveca Lindfors, John Diehl","United States, France",,1994,PG-13,121 min,"Science Fiction, Suspense","When an ancient Egyptian artifact is discovered, two men unlock its secret power as a portal through time and space."
9164,s9165,Movie,Last Action Hero (4K UHD),John McTiernan,"Danny DeVito, Arnold Schwarzenegger, F. Murray Abraham, Art Carney, Charles Dance, Frank McRae, Tom Noonan, Robert Prosky, Anthony Quinn, Mercedes Ruehl, Austin O'Brien",United States,,1993,PG-13,131 min,"Action, Adventure, Comedy",Don't miss this action-packed thrill ride!
9165,s9166,Movie,Last Action Hero,John McTiernan,"Danny DeVito, Arnold Schwarzenegger, F. Murray Abraham, Art Carney, Charles Dance, Frank McRae, Tom Noonan, Robert Prosky, Anthony Quinn, Mercedes Ruehl, Austin O'Brien",United States,,1993,PG-13,131 min,"Action, Comedy",Don't miss this action-packed thrill ride!
9166,s9167,Movie,Lara Croft Tomb Raider: The Cradle of Life (4K UHD),Jan De Bont,"Angelina Jolie, Gerard Butler, Noah Taylor, Ciaran Hinds, Djimon Hounsou, Til Schweiger, Christopher Barrie, Simon Yam, Terence Yin, Fabiano Martell","United States, Germany, Japan, United Kingdom, Hong Kong",,2003,PG-13,117 min,"Action, Adventure, Drama","Lara Croft sets out on a quest to save Pandora's box from landing into the wrong hands. Join her as she races through furious hand-to-hand battles, blazing shoot-outs and breathtaking sky-diving escapes to try to save the ancient artifact."
9183,s9184,Movie,Heartbreakers,David Mirkin,"Sigourney Weaver, Jennifer Love Hewitt, Ray Liotta, Jason Lee, Jeffrey Jones, Gene Hackman, Nora Dunn, Sarah Silverman, Zach Galifianakis, Anne Bancroft",United States,,2001,PG-13,124 min,Comedy,Sigourney Weaver and Jennifer Love Hewitt star as a mother-daughter con team that makes a career out of swindling men after marriage.
9211,s9212,Movie,Duplicity,Tony Gilroy,"Clive Owen, Julia Roberts, Tom Wilkinson, Paul Giamatti, Dan Daily, Lisa Roberts Gillan, David Shumbris, Rick Worthy, Oleg Shtefanko, Denis O'Hare, Kathleen Chalfant, Khan Baykal, Thomas McCarthy, Wayne Duvall, Fabrizio Brienza, Lucia Grillo, Carrie Preston, Conan McCarty, Kirby Mitchell, Christopher Denham, Christopher Mann, Seth Kirschner, Karl Bury, Happy Anderson, James Cronin, Esther Pringle, Mary Anne Prevost, Annabel Seymour, Sandy Hamilton, Ulrich Thomsen, Helen Elswit, George Aloi, Sakinah Bingham, Maria Di Angelis, Cassidy Gard, Ronald E. Giles, Jeff Grossman, Moe Hindi, Emily Hughes, Michael Jeremiah, Edgar Jimz, Edward M. Kelahan, Arnold Y. Kim, Ashley Klein, Stanley Krajewski, Frosty Lawson, Evan Lewis, Kimberly Magness, Chris Margaritis, Cristina Marie, Michele Melega, Alexi Melvin, Eliezer Meyer, Christopher Moser, Andrea Osv??rt, Gina Priano, D. Justyn Ryan, Ken Sladyk, Brandon Slagle, Robert T. Striem, Nico Toffoli, Tamara Torres, Darly Wanatick","United States, Germany",,2009,PG-13,125 min,"Drama, Suspense",Julia Roberts and Clive Owen star as two sexy spies-turned-corporate operatives who put everything on the line to remain one double-cross ahead in a high-stakes game of cat-and-mouse.
9321,s9322,TV Show,If You Give a Mouse a Cookie,,"Mason Mahay, Roger Craig Smith, Jessica DiCiccio, Jeff Bennett, Lara Jill Miller, Henry Kaufman, Kyla Kenedy White, Scarlet Estevez, Benji Risley",United States,"October 2, 2021",2021,ALL,10 Seasons,Kids,"If You Give A Mouse A Cookie, Series: Based on the beloved books by Laura Numeroff and Felicia Bond. Meet Mouse, Pig, Moose, Dog and Cat and their favorite kids! When everyone gets together one thing always leads to another in the most unexpected ways. You never know where things will end up, but you can be sure that IF Mouse and Friends go on an adventure, THEN there is lots of fun to be had!"
9604,s9605,Movie,Bride Wars,Gary Winick,"Kate Hudson, Anne Hathaway, Kristen Johnston, Bryan Greenberg, Candice Bergen",United States,,2009,PG,89 min,Comedy,"When a clerical error causes a clash in wedding dates, two best friends who'd do anything for each other find themselves in a no-holds-barred, take-no-prisoners struggle that threatens to erupt into all-out war."
9614,s9615,Movie,What Happens in Vegas,Tom Vaughan,"Cameron Diaz,  Ashton Kutcher,  Rob Corddry,  Lake Bell",United States,,2008,PG-13,99 min,Comedy,Jack Fuller (Ashton Kutcher) and Joy McNally (Cameron Diaz) are two strangers who awaken together to discover they've gotten married following a night of debauchery in Sin City... and one of them has won a huge jackpot after playing the other's quarter.
9641,s9642,Movie,Marley & Me,David Frankel,"Owen Wilson, Jennifer Aniston",United States,,2008,PG,116 min,"Comedy, Drama, Kids","Jennifer Aniston and Owen Wilson unleash huge laughs as John and Jenny Grogan, a young couple contemplating the decision to have a baby. Then came Marley...an adorable Labrador pup who flunks obedience school and quickly turns his new home into a disaster area. But over the years, the Grogans come to realize that ""the world's worst dog"" truly brings out the best in them."
